RepositoryOwner;RepositoryName
pandas-dev;pandas
bumptech;glide
exacity;deeplearningbook-chinese
jakevdp;PythonDataScienceHandbook
google;material-design-lite
Alvin9999;new-pac
ryanoasis;nerd-fonts
commaai;openpilot
ngosang;trackerslist
willmcgugan;rich
immutable-js;immutable-js
apache;spark
quilljs;quill
microsoft;playwright
alex;what-happens-when
zenorocha;clipboard.js
floodsung;Deep-Learning-Papers-Reading-Roadmap
RocketChat;Rocket.Chat
PowerShell;PowerShell
lerna;lerna
blueimp;jQuery-File-Upload
XX-net;XX-Net
ant-design;ant-design-pro
photonstorm;phaser
wg;wrk
Kong;kong
sharkdp;bat
akullpp;awesome-java
Trinea;android-open-project
jondot;awesome-react-native
minio;minio
rclone;rclone
preactjs;preact
hashicorp;terraform
open-guides;og-aws
typescript-cheatsheets;react
NationalSecurityAgency;ghidra
testerSunshine;12306
iperov;DeepFaceLab
Homebrew;brew
Blankj;AndroidUtilCode
NervJS;taro
shadowsocks;ShadowsocksX-NG
google-research;bert
pingcap;tidb
xitu;gold-miner
faif;python-patterns
bilibili;ijkplayer
getsentry;sentry
nolimits4web;swiper
ventoy;Ventoy
evanw;esbuild
google;styleguide
geekxh;hello-algorithm
agalwood;Motrix
kelseyhightower;kubernetes-the-hard-way
nativefier;nativefier
carbon-app;carbon
GokuMohandas;MadeWithML
foundation;foundation-sites
d2l-ai;d2l-zh
facebook;docusaurus
jaredpalmer;formik
wagoodman;dive
istio;istio
serhii-londar;open-source-mac-os-apps
joshbuchea;HEAD
dkhamsing;open-source-ios-apps
vuejs;vue-cli
zxing;zxing
lukehoban;es6features
iina;iina
AobingJava;JavaFamily
ariya;phantomjs
brillout;awesome-react-components
eugenp;tutorials
sherlock-project;sherlock
BurntSushi;ripgrep
certbot;certbot
SheetJS;sheetjs
unknwon;the-way-to-go_ZH_CN
bayandin;awesome-awesomeness
golang-standards;project-layout
netty;netty
skylot;jadx
react-boilerplate;react-boilerplate
dylanaraps;pure-bash-bible
formulahendry;955.WLB
microsoft;ML-For-Beginners
alibaba;arthas
CSSEGISandData;COVID-19
gorhill;uBlock
jashkenas;backbone
nlohmann;json
chubin;cheat.sh
satwikkansal;wtfpython
date-fns;date-fns
codepath;android_guides
tastejs;todomvc
fxsjy;jieba
shengxinjing;programmer-job-blacklist
beego;beego
Homebrew;legacy-homebrew
FFmpeg;FFmpeg
caolan;async
microsoft;monaco-editor
go-gitea;gitea
google;leveldb
mathiasbynens;dotfiles
kenwheeler;slick
aosabook;500lines
koalaman;shellcheck
freeCodeCamp;devdocs
vuejs;vuex
laurent22;joplin
square;leakcanary
jgraph;drawio
streamich;react-use
metabase;metabase
ityouknow;spring-boot-examples
dotnet;aspnetcore
cli;cli
alibaba;p3c
typeorm;typeorm
markedjs;marked
crossoverJie;JCSprout
jeecgboot;jeecg-boot
standard;standard
vuejs;vue-next
vlang;v
sorrycc;awesome-javascript
fzaninotto;Faker
jashkenas;underscore
symfony;symfony
go-gorm;gorm
ReactiveX;rxjs
mastodon;mastodon
apolloconfig;apollo
amix;vimrc
gto76;python-cheatsheet
ziadoz;awesome-php
Tencent;weui
LeCoupa;awesome-cheatsheets
openai;gym
composer;composer
elsewhencode;project-guidelines
airbnb;lottie-web
houshanren;hangzhou_house_knowledge
rapid7;metasploit-framework
atlassian;react-beautiful-dnd
JakeWharton;butterknife
junegunn;vim-plug
raywenderlich;swift-algorithm-club
IanLunn;Hover
laravel;framework
postcss;postcss
herrbischoff;awesome-macos-command-line
ZuzooVn;machine-learning-for-software-engineers
webtorrent;webtorrent
vim;vim
pyenv;pyenv
excalidraw;excalidraw
poteto;hiring-without-whiteboards
sentsin;layui
mitmproxy;mitmproxy
nvie;gitflow
sequelize;sequelize
tauri-apps;tauri
Developer-Y;cs-video-courses
request;request
proxyee-down-org;proxyee-down
Eugeny;tabby
naptha;tesseract.js
supabase;supabase
select2;select2
rethinkdb;rethinkdb
VincentGarreau;particles.js
mqyqingfeng;Blog
github;fetch
niklasvh;html2canvas
Modernizr;Modernizr
angular;angular-cli
typicode;husky
lib-pku;libpku
aria2;aria2
jesseduffield;lazygit
alibaba;druid
facebookresearch;Detectron
transloadit;uppy
danielgindi;Charts
react-hook-form;react-hook-form
jgraph;drawio-desktop
hasura;graphql-engine
acmesh-official;acme.sh
Advanced-Frontend;Daily-Interview-Question
nylas;nylas-mail
mobxjs;mobx
hankcs;HanLP
cheeriojs;cheerio
tabler;tabler
denysdovhan;wtfjs
2dust;v2rayN
geekcompany;ResumeSample
docker;compose
tannerlinsley;react-query
spf13;cobra
google;googletest
geekcomputers;Python
donnemartin;interactive-coding-challenges
harness;drone
trailofbits;algo
GitbookIO;gitbook
xkcoding;spring-boot-demo
jgm;pandoc
johnpapa;angular-styleguide
apache;airflow
google;zx
realpython;python-guide
codemirror;CodeMirror
alibaba;fastjson
psf;black
0xAX;linux-insides
scwang90;SmartRefreshLayout
cmderdev;cmder
ianstormtaylor;slate
hashicorp;vagrant
ggreer;the_silver_searcher
marktext;marktext
bvaughn;react-virtualized
CMU-Perceptual-Computing-Lab;openpose
lenve;vhr
curl;curl
gitlabhq;gitlabhq
chakra-ui;chakra-ui
hammerjs;hammer.js
nagadomi;waifu2x
VundleVim;Vundle.vim
cockroachdb;cockroach
kubernetes;minikube
powerline;fonts
alebcay;awesome-shell
OAI;OpenAPI-Specification
StreisandEffect;streisand
influxdata;influxdb
pypa;pipenv
ccxt;ccxt
CymChad;BaseRecyclerViewAdapterHelper
halfrost;LeetCode-Go
yunjey;pytorch-tutorial
encode;django-rest-framework
byoungd;English-level-up-tips-for-Chinese
hashicorp;vault
wuyouzhuguli;SpringAll
SeleniumHQ;selenium
angular;components
Binaryify;NeteaseCloudMusicApi
topjohnwu;Magisk
Netflix;Hystrix
sindresorhus;awesome-electron
dokku;dokku
cfenollosa;os-tutorial
alibaba;easyexcel
harvesthq;chosen
balderdashy;sails
pure-css;pure
emberjs;ember.js
heartcombo;devise
hollischuang;toBeTopJavaer
donnemartin;data-science-ipython-notebooks
mbeaudru;modern-js-cheatsheet
doczjs;docz
dmlc;xgboost
Dreamacro;clash
redux-saga;redux-saga
explosion;spaCy
pmndrs;react-spring
balena-io;etcher
littlecodersh;ItChat
go-kit;kit
pjreddie;darknet
fouber;blog
sqlmapproject;sqlmap
syl20bnr;spacemacs
t4t5;sweetalert
firstcontributions;first-contributions
mdbootstrap;mdb-ui-kit
tj;commander.js
react-native-elements;react-native-elements
immerjs;immer
ovity;octotree
fastai;fastai
Polymer;polymer
kahun;awesome-sysadmin
signalapp;Signal-Android
Tencent;wepy
reduxjs;react-redux
mattermost;mattermost-server
huihut;interview
kataras;iris
facebook;flow
fastify;fastify
alibaba;canal
ramda;ramda
lukasz-madon;awesome-remote-job
matteocrippa;awesome-swift
facebook;rocksdb
vuejs;devtools
dimsemenov;PhotoSwipe
github;hub
dromara;hutool
jamiebuilds;the-super-tiny-compiler
guzzle;guzzle
seata;seata
MostlyAdequate;mostly-adequate-guide
swagger-api;swagger-ui
markerikson;react-redux-links
vapor;vapor
facebook;draft-js
ReactiveX;RxSwift
inconshreveable;ngrok
lovell;sharp
Wox-launcher;Wox
tj;commander.js
react-native-elements;react-native-elements
immerjs;immer
ovity;octotree
fastai;fastai
Polymer;polymer
kahun;awesome-sysadmin
signalapp;Signal-Android
Tencent;wepy
reduxjs;react-redux
mattermost;mattermost-server
huihut;interview
kataras;iris
emscripten-core;emscripten
facebook;flow
fastify;fastify
alibaba;canal
ramda;ramda
lukasz-madon;awesome-remote-job
matteocrippa;awesome-swift
facebook;rocksdb
vuejs;devtools
dimsemenov;PhotoSwipe
github;hub
dromara;hutool
jamiebuilds;the-super-tiny-compiler
guzzle;guzzle
seata;seata
MostlyAdequate;mostly-adequate-guide
labstack;echo
swagger-api;swagger-ui
android;architecture-components-samples
markerikson;react-redux-links
vapor;vapor
facebook;draft-js
ReactiveX;RxSwift
inconshreveable;ngrok
lovell;sharp
Wox-launcher;Wox
ClickHouse;ClickHouse
kriasoft;react-starter-kit
matterport;Mask_RCNN
SwiftyJSON;SwiftyJSON
feathericons;feather
bevacqua;dragula
mochajs;mocha
rollup;rollup
google;iosched
beurtschipper;Depix
google-research;google-research
alibaba;spring-cloud-alibaba
iamadamdev;bypass-paywalls-chrome
stedolan;jq
mongodb;mongo
veggiemonk;awesome-docker
sampotts;plyr
helm;helm
mbadolato;iTerm2-Color-Schemes
openfaas;faas
usablica;intro.js
googlehosts;hosts
NativeScript;NativeScript
paularmstrong;normalizr
alibaba;nacos
nocodb;nocodb
fabricjs;fabric.js
rust-lang;rustlings
jesseduffield;lazydocker
facebook;folly
nsqio;nsq
komeiji-satori;Dress
apache;kafka
react-navigation;react-navigation
tqdm;tqdm
eriklindernoren;ML-From-Scratch
kilimchoi;engineering-blogs
PKUanonym;REKCARC-TSC-UHT
HeroTransitions;Hero
bilibili;flv.js
pugjs;pug
starship;starship
halo-dev;halo
google;python-fire
wsargent;docker-cheat-sheet
chenglou;react-motion
servo;servo
conwnet;github1s
portainer;portainer
google;gson
Meituan-Dianping;mpvue
ColorlibHQ;gentelella
SwiftGGTeam;the-swift-programming-language-in-chinese
vercel;swr
tornadoweb;tornado
AllThingsSmitty;css-protips
ruanyf;weekly
react-bootstrap;react-bootstrap
meilisearch;MeiliSearch
jlmakes;scrollreveal
xuxueli;xxl-job
BradLarson;GPUImage
bregman-arie;devops-exercises
localForage;localForage
facebookarchive;pop
datasciencemasters;go
viraptor;reverse-interview
ApolloAuto;apollo
apache;incubator-mxnet
enzymejs;enzyme
yeasy;docker_practice
vuejs;vuepress
ruanyf;es6tutorial
zsh-users;zsh-autosuggestions
eslint;eslint
dnSpy;dnSpy
viatsko;awesome-vscode
nicolargo;glances
SamyPesse;How-to-Make-a-Computer-Operating-System
JohnCoates;Aerial
haizlin;fe-interview
Reactive-Extensions;RxJS
jaredhanson;passport
withastro;snowpack
elixir-lang;elixir
ReactiveX;RxAndroid
necolas;react-native-web
ehang-io;nps
coder2gwy;coder2gwy
sebastianruder;NLP-progress
onevcat;Kingfisher
youngyangyang04;leetcode-master
tipsy;profile-summary-for-github
sirupsen;logrus
avajs;ava
railsware;upterm
goldfire;howler.js
libgdx;libgdx
uglide;RedisDesktopManager
dotnet-architecture;eShopOnContainers
StevenBlack;hosts
sickcodes;Docker-OSX
vercel;pkg
Seldaek;monolog
alpinejs;alpine
OWASP;CheatSheetSeries
docsifyjs;docsify
highlightjs;highlight.js
facebookresearch;detectron2
n8n-io;n8n
parse-community;parse-server
jhipster;generator-jhipster
rwaldron;idiomatic.js
afollestad;material-dialogs
numpy;numpy
coolsnowwolf;lede
homebridge;homebridge
judasn;IntelliJ-IDEA-Tutorial
segmentio;nightmare
zhaoolee;ChromeAppHeroes
gfwlist;gfwlist
felixrieseberg;windows95
Kong;insomnia
datawhalechina;pumpkin-book
floating-ui;floating-ui
xi-editor;xi-editor
MustangYM;WeChatExtension-ForMac
notable;notable
youzan;vant
js-cookie;js-cookie
DrKLO;Telegram
validatorjs;validator.js
v8;v8
verekia;js-stack-from-scratch
michalsnik;aos
tsenart;vegeta
Homebrew;homebrew-cask
benweet;stackedit
electron-react-boilerplate;electron-react-boilerplate
jorgebucaran;hyperapp
ruby;ruby
microsoft;cascadia-code
drduh;macOS-Security-and-Privacy-Guide
mozilla;DeepSpeech
leereilly;games
ftlabs;fastclick
davideuler;architecture.of.internet-product
swc-project;swc
k3s-io;k3s
google;ExoPlayer
libuv;libuv
coreybutler;nvm-windows
tobiasahlin;SpinKit
trekhleb;homemade-machine-learning
ageron;handson-ml2
envoyproxy;envoy
dwmkerr;hacker-laws
ray-project;ray
TeamStuQ;skill-map
Prinzhorn;skrollr
marmelab;react-admin
leereilly;games
davideuler;architecture.of.internet-product
ftlabs;fastclick
swc-project;swc
k3s-io;k3s
Popmotion;popmotion
google;ExoPlayer
libuv;libuv
coreybutler;nvm-windows
vuejs;vue-router
tobiasahlin;SpinKit
trekhleb;homemade-machine-learning
ageron;handson-ml2
envoyproxy;envoy
dwmkerr;hacker-laws
ray-project;ray
TeamStuQ;skill-map
Prinzhorn;skrollr
marmelab;react-admin
zyedidia;micro
google;web-starter-kit
ryanhanwu;How-To-Ask-Questions-The-Smart-Way
osquery;osquery
dhg;Skeleton
ibraheemdev;modern-unix
forem;forem
celery;celery
reduxjs;reselect
Awesome-HarmonyOS;HarmonyOS
palantir;blueprint
bitcoinbook;bitcoinbook
apache;skywalking
nikitavoloboev;my-mac-os
Pierian-Data;Complete-Python-3-Bootcamp
ruanyf;jstraining
statelyai;xstate
didi;DoraemonKit
neoclide;coc.nvim
qianguyihao;Web
yewstack;yew
graphql;graphql-js
robertdavidgraham;masscan
jenkinsci;jenkins
rancher;rancher
prisma;prisma
winstonjs;winston
square;picasso
bcit-ci;CodeIgniter
PostgREST;postgrest
ShareX;ShareX
deezer;spleeter
PaddlePaddle;PaddleOCR
eligrey;FileSaver.js
jcjohnson;neural-style
DIYgod;RSSHub
sebastianbergmann;phpunit
SnapKit;SnapKit
alibaba;Sentinel
ChristosChristofidis;awesome-deep-learning
Baseflow;PhotoView
SnapKit;Masonry
sideway;joi
redisson;redisson
sudheerj;reactjs-interview-questions
photoprism;photoprism
dotnet;corefx
fish-shell;fish-shell
nostalgic-css;NES.css
zhiwehu;Python-programming-exercises
microsoft;api-guidelines
remoteintech;remote-jobs
schollz;croc
tmrts;go-patterns
eugeneyan;applied-ml
wenyan-lang;wenyan
bazelbuild;bazel
alibaba;weex
apache;flink
locustio;locust
google;eng-practices
adobe-fonts;source-code-pro
n0shake;Public-APIs
qishibo;AnotherRedisDesktopManager
nextcloud;server
spf13;viper
open-mmlab;mmdetection
wekan;wekan
taichi-dev;taichi
eggjs;egg
Awesome-Windows;Awesome
jumpserver;jumpserver
airyland;vux
chalk;chalk
SpaceVim;SpaceVim
python-poetry;poetry
pytorch;examples
academic;awesome-datascience
telegramdesktop;tdesktop
vadimdemedes;ink
FelisCatus;SwitchyOmega
dracula;dracula-theme
jaywcjlove;linux-command
go-delve;delve
PHPMailer;PHPMailer
nothings;stb
phoenixframework;phoenix
recharts;recharts
dennybritz;reinforcement-learning
nuysoft;Mock
taosdata;TDengine
wesbos;JavaScript30
websockets;ws
yuzu-emu;yuzu
1c7;chinese-independent-developer
BoostIO;BoostNote-Legacy
InterviewMap;CS-Interview-Knowledge-Map
asim;go-micro
Light-City;CPlusPlusThings
gofiber;fiber
npm;npm
Micropoor;Micro8
magenta;magenta
PaddlePaddle;Paddle
uikit;uikit
jitsi;jitsi-meet
norvig;pytudes
HelloZeroNet;ZeroNet
python-telegram-bot;python-telegram-bot
facebook;flux
lutzroeder;netron
mojs;mojs
google;flatbuffers
swoole;swoole-src
TheAlgorithms;C-Plus-Plus
google;flexbox-layout
openssl;openssl
mxgmn;WaveFunctionCollapse
facebook;hhvm
dgraph-io;dgraph
microsoft;CNTK
julianshapiro;velocity
nosir;cleave.js
vnpy;vnpy
apollographql;apollo-client
codex-team;editor.js
svg;svgo
crystal-lang;crystal
mpv-player;mpv
ascoders;weekly
urfave;cli
hwdsl2;setup-ipsec-vpn
philc;vimium
alibaba;ice
CarGuo;GSYVideoPlayer
elunez;eladmin
sdras;awesome-actions
luong-komorebi;Awesome-Linux-Software
streamlit;streamlit
pbatard;rufus
typicode;lowdb
mysqljs;mysql
react-dnd;react-dnd
nushell;nushell
rome;tools
SerenityOS;serenity
reduxjs;redux-thunk
prisma;prisma1
JacksonTian;fks
firecracker-microvm;firecracker
nostra13;Android-Universal-Image-Loader
elastic;kibana
MLEveryday;100-Days-Of-ML-Code
defunkt;jquery-pjax
slidevjs;slidev
ossrs;srs
angular;material
GeekyAnts;NativeBase
jsdom;jsdom
reactnativecn;react-native-guide
kelthuzadx;hosts
facebook;fresco
freefq;free
dotnet;core
less;less.js
pubkey;rxdb
adam-golab;react-developer-roadmap
PyTorchLightning;pytorch-lightning
arendst;Tasmota
facert;awesome-spider
linlinjava;litemall
kdeldycke;awesome-falsehood
mybatis;mybatis-3
valyala;fasthttp
framework7io;framework7
processing;p5.js
basecamp;trix
SortableJS;Vue.Draggable
you-dont-need;You-Dont-Need-JavaScript
LingCoder;OnJava8
jtoy;awesome-tensorflow
